Date,Adj Close,ETS,ARIMA,ARIMAGARCH,LSTM,ESE,Unnamed: 7
2022/6/13,131.278519,139.478189,143.9032088,135.0903889,131.019715,143.9032088,143.0497621
2022/6/14,132.154495,129.772965,140.1692974,127.8468263,126.05246,140.1692974,138.712849
2022/6/15,134.812317,129.8978136,132.0660409,124.0781795,133.030471,132.0660409,135.6021541
2022/6/16,129.466812,132.7479397,134.571124,131.8182973,137.470139,134.571124,130.6136796
2022/6/17,130.959976,127.3001743,125.2038737,128.6924513,124.121307,125.2038737,128.6712049
2022/6/21,135.25032,128.2618094,126.2386169,130.436012,132.45314,126.2386169,128.9710266
2022/6/22,134.732697,133.1108543,135.4705893,132.9946577,139.540664,135.4705893,131.7965706
2022/6/23,137.639374,134.068635,133.6805057,135.0745826,134.215074,133.6805057,134.3233297
2022/6/24,141.013916,137.2557535,133.8188942,138.6652655,140.546051,133.8188942,135.8472322
2022/6/27,141.013916,139.6113909,140.0422968,142.7959088,144.388458,140.0422968,138.0214666
2022/6/28,136.813171,142.1744968,140.2032087,143.3911217,141.013916,140.2032087,137.6694361
2022/6/29,138.595001,145.5187418,132.7628029,140.1886561,132.612426,132.7628029,136.995059
2022/6/30,136.096451,139.7890509,138.0191654,138.7142667,140.376831,138.0191654,135.4878901
2022/7/1,138.296356,137.0392377,135.6817022,135.7764386,133.597901,135.6817022,137.2339292
2022/7/5,140.914368,138.2021869,138.00092,135.7476854,140.496261,138.00092,138.162247
2022/7/6,142.268173,140.9050219,140.8041188,140.5654474,143.53238,140.8041188,140.3552845
2022/7/7,145.682541,139.4947597,142.2608146,143.0097998,143.621978,142.2608146,142.9647147
2022/7/8,146.36937,145.886706,145.8292108,147.3945757,149.096909,145.8292108,144.9856718
2022/7/11,144.209259,147.3763555,146.8669899,149.6796991,147.056199,146.8669899,146.2476329
2022/7/12,145.194748,147.6749485,146.0466979,147.0665284,142.049148,146.0466979,146.621506
2022/7/13,144.826447,146.440169,146.9508301,145.8613598,146.180237,146.9508301,146.6622709
2022/7/14,147.792847,146.0835715,146.9892847,144.9758783,144.458146,146.9892847,147.457089
2022/7/15,149.485107,148.5033577,148.4311521,146.879097,150.759247,148.4311521,148.5355827
2022/7/18,146.399246,149.1598299,150.1863113,150.335926,151.177367,150.1863113,149.1698812
2022/7/19,150.31131,148.2976161,148.8921802,148.6836124,143.313385,148.8921802,149.6467302
2022/7/20,152.34201,149.5356863,149.8616992,150.7668398,154.223374,149.8616992,150.4650118
2022/7/21,154.641479,152.1730396,152.6411561,152.0250018,154.37271,152.6411561,152.6052005
2022/7/22,153.387222,154.6829159,155.3127461,155.4178984,156.940948,155.3127461,154.2552986
2022/7/25,152.252426,155.617236,154.8119937,158.7841242,152.132965,154.8119937,155.0937983
2022/7/26,150.9086,155.0511817,155.1566551,153.4059975,151.11763,155.1566551,155.1664688
2022/7/27,156.074905,153.6808959,155.5307577,150.8786628,149.564774,155.5307577,155.4810812
2022/7/28,156.63237,156.1629375,155.7558306,152.3290463,161.24121,155.7558306,156.1012224
2022/7/29,161.768814,157.5111333,157.017079,157.2741387,157.189835,157.017079,156.98668
2022/8/1,160.773392,159.1748828,158.1871304,163.023386,166.905258,158.1871304,158.3716776
2022/8/2,159.280212,162.1277071,159.9108234,166.6897225,159.77797,159.9108234,159.7986159
2022/8/3,165.372314,160.6422873,161.2978939,161.6305105,157.787032,161.2978939,161.8974992
2022/8/4,165.053772,165.4745324,164.4837802,165.1797431,171.464416,164.4837802,163.5684796
2022/8/5,164.824509,167.9885766,164.9237648,166.8738336,164.73523,164.9237648,165.1858092
2022/8/8,164.346024,167.5334592,166.1498826,166.9945398,164.595246,166.1498826,165.4126626
2022/8/9,164.395859,166.9648593,165.1643404,166.5960122,163.867539,165.1643404,166.2759548
2022/8/10,168.702148,166.1203328,167.5136415,164.7492148,164.445694,167.5136415,167.1676791
2022/8/11,167.954529,168.1714967,168.8250554,167.4464247,173.008437,168.8250554,168.7211571
2022/8/12,171.553055,168.9307978,169.8247743,169.0935651,167.20691,169.8247743,170.056098
2022/8/15,172.639587,170.1501258,171.5184642,172.4347928,175.151581,171.5184642,171.3781006
2022/8/16,172.480087,173.4513719,172.7910631,175.9300045,173.726119,172.7910631,172.753758
2022/8/17,173.99527,174.1143206,173.9517465,174.6365776,172.320587,173.9517465,174.1036559
2022/8/18,173.596527,177.7130646,175.5681579,175.2765723,175.510453,175.5681579,175.216316
2022/8/19,170.974899,176.0780491,176.1290435,174.5612371,173.197784,176.1290435,175.3417682
2022/8/22,167.03746,171.8750292,174.3281032,172.0752158,168.353271,174.3281032,174.7779812
2022/8/23,166.698532,167.1682098,173.8767968,166.2345032,163.100021,173.8767968,173.4687916
